ChatGPT
" and category

The report below is based on the given dataframe:

For 2017: 
The total number of Positive responses in the Cleaniness category was 1 while there was 1 Negative responses. 
The total number of Positive responses in the Services category was 5 while there was 0 Negative responses. 
The total number of Positive responses in the Value category was 3 while there was 0 Negative responses. 

For 2018: 
The total number of Positive responses in the Cleaniness category was 4 while there was 0 Negative responses. 
The total number of Positive responses in the Services category was 3 while there was 0 Negative responses. 
The total number of Positive responses in the Value category was 2 while there was 0 Negative responses. 

For 2019: 
The total number of Positive responses in the Cleaniness category was 8 while there was 0 Negative responses. 
The total number of Positive responses in the Services category was 5 while there was 1 Negative responses. 
The total number of Positive responses in the Value category was 0 while there was 0 Negative responses. 

For 2020: 
The total number of Positive responses in the Cleaniness category was 4 while there was 0 Negative responses. 
The total number of Positive responses in the Services category was 10 while there was 0 Negative responses. 
The total number of Positive responses in the Value category was 4 while there was 1 Negative responses. 

For 2021: 
The total number of Positive responses in the Cleaniness category was 0 while there was 2 Negative responses. 
The total number of Positive responses in the Services category was 8 while there was 0 Negative responses. 
The total number of Positive responses in the Value category was 5 while there was 0 Negative responses. 

For 2022: 
The total number of Positive responses in the Cleaniness category was 7 while there was 0 Negative responses. 
The total number of Positive responses in the Services category was 6 while there was 1 Negative responses. 
The total number of Positive responses in the Value category was 0 while there was 0 Negative responses. 

For 2023: 
The total number of Positive responses in the Cleaniness category was 0 while there was 0 Negative responses. 
The total number of Positive responses in the Services category was 0 while there was 1 Negative responses. 
The total number of Positive responses in the Value category was 12 while there was 0 Negative responses. 
The total number of Positive responses in the Amenities category was 7 while there was 0 Negative responses. 
The total number of Positive responses in the Location category was 7 while there was 1 Negative responses. 
The total number of Positive responses in the General category was 12 while there was 0 Negative responses."
